_id,asset_allocation,asset_allocation_id,asset_currency,asset_value,created
1,Equities,39958838,USD,217.06,2025-02-25T09:18:34.158728+00:00
1,Commodities,83197857,GBP,159.05,2025-05-18T09:18:34.162165+00:00
2,Cash,22575562,USD,231.12,2025-03-06T09:18:34.162165+00:00
2,Cash,85329037,USD,321.75,2025-02-22T09:18:34.163356+00:00
3,Crypto,66306997,USD,181.15,2025-04-17T09:18:34.163356+00:00
3,Commodities,10872248,USD,212.27,2025-04-09T09:18:34.163356+00:00
4,Equities,30868105,USD,366.98,2025-04-09T09:18:34.163356+00:00
4,Equities,22448136,JPY,26321.19,2025-04-08T09:18:34.163356+00:00
4,Equities,15831819,JPY,36869.47,2025-04-04T09:18:34.163356+00:00
4,Equities,84093639,EUR,315.57,2025-03-04T09:18:34.163356+00:00
5,Bonds,87490893,USD,213.07,2025-05-17T09:18:34.163356+00:00
6,Commodities,40587988,EUR,342.45,2025-04-23T09:18:34.163356+00:00
7,Cash,61019678,EUR,167.14,2025-04-06T09:18:34.163356+00:00
7,Equities,59684848,EUR,139.09,2025-04-18T09:18:34.163356+00:00
7,Commodities,96977837,GBP,160.91,2025-05-01T09:18:34.163356+00:00
7,Crypto,42857966,USD,182.78,2025-04-18T09:18:34.163356+00:00
8,Crypto,39476249,EUR,317.89,2025-05-15T09:18:34.163356+00:00
8,Real Estate,14308421,EUR,241.7,2025-05-14T09:18:34.163356+00:00
9,Equities,86125617,EUR,139.45,2025-03-20T09:18:34.163356+00:00
9,Real Estate,96282117,JPY,18285.95,2025-05-05T09:18:34.163356+00:00
10,Equities,85345555,AUD,350.41,2025-03-09T09:18:34.163356+00:00
10,Real Estate,88320463,JPY,32687.91,2025-05-05T09:18:34.163356+00:00
10,Crypto,76238574,GBP,263.37,2025-05-08T09:18:34.163356+00:00
10,Equities,94214382,USD,336.01,2025-03-29T09:18:34.163356+00:00
11,Crypto,18526544,JPY,22105.91,2025-03-24T09:18:34.163356+00:00
11,Crypto,43744231,AUD,344.24,2025-05-21T09:18:34.163356+00:00
12,Equities,82070937,EUR,305.08,2025-04-09T09:18:34.163356+00:00
12,Equities,49392920,JPY,27795.79,2025-05-22T09:18:34.163356+00:00
12,Crypto,77187530,USD,282.69,2025-05-09T09:18:34.163356+00:00
12,Crypto,95758349,AUD,446.49,2025-05-03T09:18:34.163356+00:00
14,Bonds,31682744,AUD,542.1,2025-03-16T09:18:34.163356+00:00
14,Cash,90388981,EUR,256.78,2025-05-08T09:18:34.163356+00:00
15,Crypto,51273847,USD,132.24,2025-03-11T09:18:34.164617+00:00
16,Cash,21496211,JPY,43584.56,2025-03-15T09:18:34.164617+00:00
16,Equities,27232410,JPY,46724.37,2025-05-01T09:18:34.164617+00:00
16,Bonds,80823176,AUD,394.92,2025-04-25T09:18:34.164617+00:00
16,Crypto,36998038,EUR,241.33,2025-02-26T09:18:34.164617+00:00
16,Commodities,60119651,JPY,45590.74,2025-03-26T09:18:34.164617+00:00
17,Equities,43273328,USD,133.0,2025-05-20T09:18:34.164617+00:00
17,Commodities,84346088,USD,198.56,2025-05-22T09:18:34.164617+00:00
18,Cash,94705205,GBP,184.34,2025-05-18T09:18:34.164617+00:00
18,Bonds,19510312,AUD,343.55,2025-02-26T09:18:34.164617+00:00
18,Real Estate,38754377,AUD,314.22,2025-03-10T09:18:34.164617+00:00
19,Crypto,73440831,USD,223.08,2025-03-31T09:18:34.164617+00:00
19,Equities,22660194,GBP,165.9,2025-04-07T09:18:34.164617+00:00
19,Real Estate,65177213,JPY,29821.39,2025-05-16T09:18:34.164617+00:00
20,Crypto,97705310,GBP,159.09,2025-04-09T09:18:34.164617+00:00
20,Commodities,24665841,USD,223.42,2025-03-15T09:18:34.164617+00:00
20,Crypto,28814949,JPY,28403.71,2025-03-24T09:18:34.164617+00:00
20,Real Estate,20117988,JPY,43392.53,2025-03-13T09:18:34.164617+00:00
21,Equities,16789850,AUD,339.67,2025-05-11T09:18:34.164617+00:00
21,Real Estate,32321899,JPY,23770.26,2025-04-25T09:18:34.164617+00:00
21,Crypto,17869910,USD,172.37,2025-04-03T09:18:34.164617+00:00
21,Crypto,71070189,EUR,163.65,2025-03-12T09:18:34.164617+00:00
22,Crypto,75319931,USD,223.11,2025-04-25T09:18:34.164617+00:00
22,Cash,87736262,AUD,294.42,2025-04-12T09:18:34.164617+00:00
22,Cash,16729990,AUD,409.81,2025-03-16T09:18:34.164617+00:00
23,Bonds,17634247,AUD,199.82,2025-04-29T09:18:34.164617+00:00
23,Equities,89864260,GBP,167.52,2025-04-22T09:18:34.164617+00:00
24,Real Estate,26090908,AUD,345.82,2025-03-07T09:18:34.164617+00:00
24,Cash,93131979,GBP,212.88,2025-03-09T09:18:34.164617+00:00
24,Crypto,80166708,EUR,333.74,2025-04-26T09:18:34.164617+00:00
25,Crypto,42035886,EUR,160.52,2025-02-26T09:18:34.165961+00:00
25,Crypto,71367643,EUR,221.84,2025-05-13T09:18:34.165961+00:00
26,Cash,71510041,AUD,554.57,2025-05-10T09:18:34.165961+00:00
26,Equities,82160068,USD,282.35,2025-05-06T09:18:34.165961+00:00
26,Crypto,19233013,USD,256.79,2025-05-02T09:18:34.165961+00:00
26,Crypto,82909480,EUR,278.01,2025-02-28T09:18:34.165961+00:00
26,Crypto,11049999,AUD,360.58,2025-02-27T09:18:34.165961+00:00
27,Equities,28024248,EUR,128.27,2025-05-09T09:18:34.165961+00:00
27,Commodities,30863865,EUR,147.4,2025-04-26T09:18:34.165961+00:00
27,Crypto,37326368,EUR,173.12,2025-04-20T09:18:34.165961+00:00
28,Cash,22388090,JPY,43904.35,2025-05-17T09:18:34.165961+00:00
28,Cash,54769200,USD,306.96,2025-04-19T09:18:34.165961+00:00
29,Bonds,69302158,AUD,315.55,2025-03-12T09:18:34.165961+00:00
29,Cash,25015458,GBP,194.51,2025-02-23T09:18:34.165961+00:00
29,Bonds,83227889,GBP,183.46,2025-03-09T09:18:34.165961+00:00
30,Commodities,29876811,JPY,27058.69,2025-04-13T09:18:34.165961+00:00
31,Bonds,15354599,EUR,139.16,2025-04-21T09:18:34.165961+00:00
31,Equities,57469942,AUD,348.56,2025-03-31T09:18:34.165961+00:00
32,Bonds,41774346,USD,370.54,2025-04-30T09:18:34.165961+00:00
32,Crypto,13326769,USD,325.61,2025-04-10T09:18:34.165961+00:00
32,Crypto,99913412,USD,237.53,2025-02-22T09:18:34.165961+00:00
32,Bonds,61343880,GBP,278.79,2025-04-24T09:18:34.165961+00:00
32,Real Estate,71780854,EUR,225.15,2025-04-23T09:18:34.165961+00:00
33,Bonds,13176186,USD,174.81,2025-04-17T09:18:34.165961+00:00
33,Equities,47463522,EUR,188.77,2025-04-01T09:18:34.165961+00:00
34,Crypto,13704481,GBP,281.56,2025-04-19T09:18:34.165961+00:00
35,Bonds,87925434,EUR,119.4,2025-03-07T09:18:34.165961+00:00
35,Real Estate,56397338,EUR,165.19,2025-03-18T09:18:34.165961+00:00
35,Equities,61700055,AUD,220.16,2025-05-17T09:18:34.165961+00:00
36,Real Estate,10226999,AUD,534.35,2025-03-15T09:18:34.165961+00:00
36,Bonds,58884978,JPY,25679.37,2025-02-26T09:18:34.165961+00:00
36,Bonds,93638503,EUR,286.93,2025-05-07T09:18:34.165961+00:00
36,Bonds,78064830,EUR,287.54,2025-04-11T09:18:34.165961+00:00
37,Real Estate,49682169,AUD,208.55,2025-03-30T09:18:34.165961+00:00
37,Crypto,60888017,USD,201.94,2025-04-14T09:18:34.165961+00:00
37,Real Estate,83542887,GBP,130.39,2025-04-26T09:18:34.165961+00:00
38,Real Estate,87844239,AUD,459.18,2025-03-24T09:18:34.165961+00:00
38,Crypto,69345683,USD,283.35,2025-05-01T09:18:34.165961+00:00
39,Equities,48089166,AUD,307.81,2025-03-04T09:18:34.165961+00:00
39,Bonds,22534217,USD,209.1,2025-04-24T09:18:34.165961+00:00
40,Equities,29777514,GBP,156.93,2025-03-23T09:18:34.165961+00:00
41,Equities,71124923,JPY,30178.19,2025-03-10T09:18:34.165961+00:00
41,Equities,61536717,JPY,22394.45,2025-05-04T09:18:34.165961+00:00
41,Cash,24305904,JPY,19501.46,2025-02-22T09:18:34.165961+00:00
41,Commodities,72350830,GBP,155.74,2025-05-07T09:18:34.165961+00:00
42,Crypto,27896471,JPY,40021.87,2025-03-12T09:18:34.167642+00:00
42,Crypto,69401199,AUD,503.66,2025-03-19T09:18:34.167642+00:00
43,Bonds,83534128,JPY,30355.33,2025-03-23T09:18:34.167642+00:00
43,Bonds,44788100,USD,229.98,2025-04-17T09:18:34.167642+00:00
44,Commodities,75041510,USD,238.99,2025-05-13T09:18:34.167642+00:00
44,Equities,41473195,EUR,230.43,2025-03-14T09:18:34.167642+00:00
44,Equities,28572252,USD,230.86,2025-02-23T09:18:34.167642+00:00
44,Equities,38716269,GBP,212.23,2025-04-10T09:18:34.167642+00:00
45,Commodities,72535301,JPY,16996.25,2025-03-30T09:18:34.167642+00:00
45,Real Estate,88393811,GBP,185.67,2025-03-10T09:18:34.167642+00:00
45,Real Estate,74019136,GBP,194.27,2025-04-14T09:18:34.167642+00:00
46,Commodities,62343121,JPY,36917.29,2025-03-14T09:18:34.167642+00:00
46,Commodities,90967191,USD,279.04,2025-04-18T09:18:34.167642+00:00
46,Real Estate,75181765,GBP,208.33,2025-02-26T09:18:34.167642+00:00
47,Real Estate,32151928,JPY,30712.67,2025-03-04T09:18:34.167642+00:00
47,Commodities,13619375,JPY,25470.28,2025-02-27T09:18:34.167642+00:00
47,Cash,21267237,JPY,18171.19,2025-03-24T09:18:34.167642+00:00
47,Equities,16749089,EUR,158.6,2025-04-25T09:18:34.167642+00:00
47,Crypto,53868501,EUR,202.54,2025-04-04T09:18:34.167642+00:00
48,Equities,66581473,EUR,316.52,2025-03-23T09:18:34.167642+00:00
48,Cash,82399599,GBP,299.99,2025-04-08T09:18:34.167642+00:00
49,Equities,97260863,GBP,178.12,2025-02-28T09:18:34.167642+00:00
49,Cash,14164775,USD,149.92,2025-05-20T09:18:34.167642+00:00
49,Equities,42016960,USD,184.2,2025-05-08T09:18:34.167642+00:00
50,Commodities,39254705,JPY,40787.16,2025-04-05T09:18:34.167642+00:00
50,Bonds,91321540,AUD,544.94,2025-05-08T09:18:34.167642+00:00
51,Equities,51746937,GBP,157.87,2025-04-13T09:18:34.167642+00:00
51,Crypto,60372847,JPY,31063.53,2025-04-27T09:18:34.167642+00:00
51,Cash,89470029,USD,137.74,2025-04-14T09:18:34.167642+00:00
52,Equities,85958181,GBP,202.08,2025-03-29T09:18:34.167642+00:00
52,Crypto,19255216,AUD,457.19,2025-05-21T09:18:34.167642+00:00
52,Crypto,75793759,GBP,215.03,2025-04-06T09:18:34.167642+00:00
52,Crypto,30534124,JPY,28227.29,2025-03-17T09:18:34.167642+00:00
53,Bonds,92666356,AUD,328.31,2025-03-24T09:18:34.167642+00:00
53,Real Estate,89520597,EUR,152.07,2025-04-21T09:18:34.167642+00:00
53,Equities,47437115,JPY,19901.82,2025-03-24T09:18:34.167642+00:00
54,Real Estate,55150390,GBP,224.15,2025-04-11T09:18:34.167642+00:00
54,Equities,75437844,USD,254.03,2025-04-19T09:18:34.167642+00:00
54,Bonds,47535126,AUD,472.08,2025-04-17T09:18:34.167642+00:00
55,Crypto,11362459,AUD,360.39,2025-05-12T09:18:34.167642+00:00
55,Equities,64549859,JPY,24882.82,2025-04-22T09:18:34.167642+00:00
55,Commodities,73900135,JPY,23170.79,2025-05-20T09:18:34.167642+00:00
55,Cash,49491631,USD,175.55,2025-04-21T09:18:34.167642+00:00
56,Bonds,99115205,AUD,379.9,2025-03-13T09:18:34.167642+00:00
56,Crypto,56138336,JPY,47919.16,2025-03-13T09:18:34.167642+00:00
57,Crypto,57219209,JPY,20334.66,2025-04-20T09:18:34.167642+00:00
57,Real Estate,26194158,USD,164.44,2025-03-15T09:18:34.167642+00:00
59,Commodities,34850391,USD,152.05,2025-03-22T09:18:34.167642+00:00
60,Crypto,89133014,AUD,443.11,2025-05-10T09:18:34.167642+00:00
61,Equities,49761527,USD,170.11,2025-04-14T09:18:34.167642+00:00
61,Cash,81690398,USD,159.29,2025-05-16T09:18:34.167642+00:00
61,Crypto,49209916,USD,204.73,2025-03-21T09:18:34.167642+00:00
61,Cash,11646234,AUD,237.6,2025-03-22T09:18:34.167642+00:00
61,Real Estate,55728776,USD,245.69,2025-04-20T09:18:34.167642+00:00
62,Crypto,25312516,GBP,210.11,2025-05-13T09:18:34.167642+00:00
63,Cash,30364454,USD,226.39,2025-04-14T09:18:34.167642+00:00
63,Equities,43311626,GBP,155.81,2025-03-30T09:18:34.167642+00:00
64,Equities,80138498,JPY,34812.35,2025-03-27T09:18:34.167642+00:00
64,Equities,88990506,JPY,31329.13,2025-03-04T09:18:34.167642+00:00
65,Cash,91823275,GBP,194.76,2025-04-26T09:18:34.167642+00:00
65,Real Estate,45520201,GBP,115.71,2025-04-30T09:18:34.167642+00:00
65,Crypto,20075036,USD,125.33,2025-03-26T09:18:34.167642+00:00
66,Commodities,89699989,JPY,30990.22,2025-04-23T09:18:34.167642+00:00
66,Bonds,47945817,JPY,25708.31,2025-04-23T09:18:34.167642+00:00
66,Bonds,93893865,AUD,460.98,2025-04-27T09:18:34.167642+00:00
67,Crypto,25405014,AUD,226.59,2025-05-03T09:18:34.167642+00:00
67,Crypto,29090631,GBP,105.96,2025-04-13T09:18:34.167642+00:00
67,Commodities,86397676,EUR,165.5,2025-03-24T09:18:34.167642+00:00
68,Commodities,50814428,JPY,46624.23,2025-03-19T09:18:34.167642+00:00
68,Crypto,76276072,JPY,25930.6,2025-05-17T09:18:34.167642+00:00
69,Real Estate,53261270,AUD,231.32,2025-05-11T09:18:34.167642+00:00
69,Equities,87201917,AUD,360.9,2025-02-25T09:18:34.167642+00:00
70,Bonds,87342561,GBP,264.47,2025-04-30T09:18:34.167642+00:00
70,Real Estate,79654147,JPY,45985.75,2025-04-29T09:18:34.167642+00:00
70,Crypto,68503492,JPY,47257.33,2025-03-23T09:18:34.167642+00:00
71,Bonds,64807553,EUR,151.92,2025-05-09T09:18:34.167642+00:00
71,Equities,54265498,JPY,27098.78,2025-04-16T09:18:34.167642+00:00
72,Crypto,83832717,GBP,218.22,2025-04-12T09:18:34.167642+00:00
72,Crypto,53389073,GBP,295.53,2025-04-01T09:18:34.167642+00:00
72,Commodities,10154493,AUD,405.7,2025-05-16T09:18:34.167642+00:00
72,Real Estate,79583757,EUR,279.9,2025-03-20T09:18:34.167642+00:00
73,Crypto,69329732,GBP,120.36,2025-03-13T09:18:34.167642+00:00
73,Bonds,48658617,JPY,30093.55,2025-03-21T09:18:34.167642+00:00
73,Equities,13874790,AUD,332.87,2025-02-21T09:18:34.167642+00:00
74,Equities,51708177,AUD,281.29,2025-03-31T09:18:34.167642+00:00
74,Equities,40158811,GBP,219.22,2025-05-07T09:18:34.167642+00:00
74,Equities,76890827,EUR,260.28,2025-04-18T09:18:34.167642+00:00
75,Crypto,74759996,JPY,19899.69,2025-03-13T09:18:34.167642+00:00
75,Bonds,61484043,USD,240.23,2025-03-18T09:18:34.167642+00:00
76,Commodities,28321839,GBP,191.44,2025-03-30T09:18:34.167642+00:00
76,Bonds,78147397,EUR,314.04,2025-04-16T09:18:34.167642+00:00
76,Commodities,50071487,AUD,438.43,2025-02-27T09:18:34.167642+00:00
76,Real Estate,29944139,JPY,36925.93,2025-04-08T09:18:34.167642+00:00
77,Crypto,84077101,AUD,254.78,2025-04-11T09:18:34.167642+00:00
77,Real Estate,42051937,AUD,255.85,2025-03-31T09:18:34.167642+00:00
77,Cash,52704903,JPY,27283.65,2025-04-04T09:18:34.167642+00:00
78,Crypto,99078806,USD,280.37,2025-05-18T09:18:34.167642+00:00
79,Bonds,77416376,AUD,246.42,2025-05-10T09:18:34.167642+00:00
79,Crypto,23383077,AUD,353.43,2025-05-21T09:18:34.167642+00:00
79,Bonds,65026398,USD,134.35,2025-04-19T09:18:34.167642+00:00
80,Crypto,93652460,JPY,39596.08,2025-04-10T09:18:34.167642+00:00
81,Crypto,61003997,EUR,187.08,2025-03-21T09:18:34.167642+00:00
81,Crypto,14818295,AUD,197.66,2025-03-03T09:18:34.167642+00:00
82,Crypto,40532691,GBP,215.1,2025-05-10T09:18:34.167642+00:00
82,Equities,69549527,USD,317.63,2025-05-19T09:18:34.167642+00:00
82,Cash,53536830,GBP,194.01,2025-04-05T09:18:34.167642+00:00
83,Real Estate,29538047,USD,191.4,2025-03-11T09:18:34.167642+00:00
83,Bonds,32814819,USD,134.87,2025-04-04T09:18:34.167642+00:00
83,Bonds,76795767,AUD,211.48,2025-03-24T09:18:34.167642+00:00
83,Bonds,71682508,EUR,191.69,2025-03-24T09:18:34.167642+00:00
84,Equities,83363160,USD,201.35,2025-04-08T09:18:34.167642+00:00
84,Equities,95756900,JPY,40567.52,2025-03-25T09:18:34.167642+00:00
84,Equities,36738452,JPY,44480.05,2025-05-09T09:18:34.167642+00:00
85,Real Estate,61185849,AUD,251.41,2025-04-15T09:18:34.167642+00:00
85,Crypto,12944682,JPY,20391.69,2025-03-11T09:18:34.167642+00:00
85,Cash,91390501,JPY,29325.42,2025-04-16T09:18:34.167642+00:00
86,Equities,91478884,EUR,210.28,2025-04-28T09:18:34.167642+00:00
86,Crypto,43638559,USD,305.3,2025-03-03T09:18:34.167642+00:00
86,Commodities,15291208,EUR,308.54,2025-05-18T09:18:34.167642+00:00
86,Crypto,58970845,USD,204.4,2025-04-15T09:18:34.167642+00:00
87,Crypto,65767881,USD,150.1,2025-03-14T09:18:34.167642+00:00
87,Crypto,81249799,AUD,354.0,2025-05-01T09:18:34.167642+00:00
87,Crypto,74672520,EUR,200.85,2025-04-09T09:18:34.167642+00:00
88,Cash,72858374,GBP,171.11,2025-04-24T09:18:34.167642+00:00
88,Commodities,63339667,AUD,379.0,2025-04-02T09:18:34.167642+00:00
88,Cash,45495029,AUD,311.8,2025-04-05T09:18:34.167642+00:00
88,Commodities,45186708,AUD,383.23,2025-03-02T09:18:34.167642+00:00
88,Bonds,24541967,USD,275.9,2025-03-04T09:18:34.167642+00:00
89,Crypto,54024257,AUD,225.95,2025-05-14T09:18:34.167642+00:00
89,Commodities,72312933,EUR,189.66,2025-05-08T09:18:34.167642+00:00
89,Equities,16086345,GBP,130.44,2025-03-20T09:18:34.167642+00:00
90,Cash,23044889,USD,353.86,2025-05-05T09:18:34.167642+00:00
91,Real Estate,70887034,EUR,192.11,2025-02-22T09:18:34.167642+00:00
91,Crypto,66254240,AUD,322.32,2025-05-03T09:18:34.167642+00:00
91,Real Estate,97902129,GBP,183.37,2025-03-05T09:18:34.167642+00:00
92,Crypto,47546086,GBP,253.54,2025-04-25T09:18:34.167642+00:00
92,Crypto,69686067,USD,347.9,2025-05-10T09:18:34.167642+00:00
92,Crypto,83076970,EUR,182.94,2025-04-17T09:18:34.167642+00:00
93,Bonds,26395999,JPY,17466.77,2025-04-25T09:18:34.167642+00:00
93,Cash,16788532,EUR,143.01,2025-05-06T09:18:34.167642+00:00
93,Bonds,19208698,AUD,223.32,2025-04-25T09:18:34.167642+00:00
93,Bonds,54098516,USD,223.58,2025-03-07T09:18:34.167642+00:00
94,Cash,47215199,USD,372.66,2025-03-14T09:18:34.167642+00:00
94,Equities,33420607,GBP,249.16,2025-05-19T09:18:34.167642+00:00
94,Equities,11994519,EUR,308.77,2025-04-22T09:18:34.167642+00:00
95,Crypto,53455870,GBP,117.42,2025-05-16T09:18:34.167642+00:00
95,Equities,66500369,AUD,206.03,2025-05-14T09:18:34.167642+00:00
96,Real Estate,70166480,EUR,261.03,2025-05-09T09:18:34.167642+00:00
97,Real Estate,77624084,USD,243.18,2025-05-17T09:18:34.167642+00:00
97,Commodities,98436473,AUD,240.8,2025-03-01T09:18:34.167642+00:00
98,Cash,18163847,JPY,44335.17,2025-03-29T09:18:34.167642+00:00
98,Equities,75802771,JPY,25763.78,2025-05-12T09:18:34.167642+00:00
99,Bonds,91644298,USD,133.21,2025-04-17T09:18:34.167642+00:00
99,Crypto,94970119,AUD,286.45,2025-04-11T09:18:34.167642+00:00
100,Real Estate,90180577,AUD,359.33,2025-03-19T09:18:34.167642+00:00
100,Crypto,67740376,GBP,268.96,2025-05-08T09:18:34.167642+00:00
